#{"t_start": 1721770740.9424355, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
715.0,3835,624.273343
60.0,1477,624.702904
275.0,3419,625.679979
235.0,2113,626.288289
565.0,3211,627.216275
570.0,3539,628.220004
540.0,3719,629.26085
225.0,2321,629.927478
430.0,3503,630.913583
635.0,2655,631.657604
470.0,4097,632.818984
895.0,3549,633.83027
415.0,2995,634.664555
515.0,3819,635.733226
305.0,2220,636.373397
395.0,3009,637.231001
350.0,3685,638.286332
395.0,3309,639.24489
545.0,3507,640.233265
345.0,2680,641.015637
330.0,3123,641.893525
265.0,2211,642.519194
655.0,3617,643.533954
610.0,2965,646.83463
610.0,2635,647.579764
240.0,2961,648.428616
95.0,1681,648.907804
270.0,2513,649.626175
435.0,3249,650.551618
515.0,4390,651.81532
270.0,2481,652.531235
430.0,3307,653.476378
285.0,2377,654.156835
350.0,3005,655.030675
395.0,3399,656.015998
545.0,4486,657.263112
625.0,3753,658.338783
410.0,2803,659.139605
155.0,2031,659.713562
560.0,3383,660.673812
600.0,4637,661.989309
340.0,2423,662.678797
395.0,3866,663.773028
210.0,2407,664.458604
370.0,2705,665.255427
155.0,2209,665.882586
305.0,3073,666.768131
335.0,2667,667.534914
510.0,3491,668.535018
480.0,4129,669.70691
590.0,3159,670.625702
600.0,4631,671.909547
525.0,3591,672.933501
490.0,3011,673.808198
600.0,4587,675.092402
210.0,2599,679.207564
380.0,3541,680.226779
590.0,4043,681.391187
600.0,4099,682.536857
900.0,5539,684.079291
600.0,3847,685.1537
345.0,2857,685.946974
700.0,3337,686.892378
495.0,4795,688.241927
715.0,4268,689.43976
280.0,2829,690.249275
220.0,2261,690.887871
230.0,2407,691.577354
330.0,3549,692.591332
395.0,3135,693.479878
475.0,3133,694.369126
605.0,4049,695.503859
335.0,2697,696.271987
475.0,3643,697.301879
325.0,2357,697.985487
310.0,2937,698.808265
670.0,3333,699.756848
530.0,3744,700.822207
550.0,3801,701.882968
655.0,4387,703.139424
655.0,4181,704.323161
580.0,4615,705.62697
330.0,3089,706.484922
525.0,5071,711.114023
450.0,3701,712.176081
330.0,2556,712.905672
685.0,3459,713.883441
350.0,2897,714.722831
245.0,1947,715.269654
420.0,4319,716.51176
140.0,1541,716.948113
350.0,3283,717.868419
395.0,2902,718.704135
500.0,3331,719.649027
585.0,4329,720.873507
410.0,2873,721.686756
615.0,3601,722.710814
580.0,4199,723.874871
215.0,2509,724.594179
545.0,4291,725.779624
1000.0,4815,727.155847
605.0,3073,728.0466
480.0,2827,728.861833
215.0,2329,729.52294
515.0,2831,730.319149
320.0,2795,731.119628
555.0,3899,732.212529
605.0,4163,733.391994
385.0,3011,734.249725
190.0,1601,734.72102
240.0,2535,735.457391
570.0,4605,736.749951
245.0,1827,737.277756
600.0,5015,738.676769
575.0,5532,743.102324
880.0,6719,744.998862
190.0,1929,745.547727
340.0,2843,746.336723
575.0,5601,747.918154
535.0,3658,748.949001
315.0,2625,749.700135
465.0,2199,750.357634
495.0,3709,751.417955
220.0,2135,752.022295
550.0,2391,752.70962
270.0,2433,753.417708
615.0,3471,754.411571
700.0,3209,755.314352
460.0,3717,756.351741
680.0,3401,757.306007
520.0,3519,758.301836
145.0,2119,758.911107
515.0,3239,759.831944
910.0,5591,761.425854
255.0,2487,762.142197
115.0,1791,762.640826
640.0,4435,763.889304
420.0,3407,764.868201
445.0,2709,765.632367
570.0,4553,766.942372
575.0,4621,768.231436
440.0,2857,769.027497
560.0,4056,770.161837
800.0,3141,771.05675
605.0,3841,774.930421
645.0,5099,776.375507
365.0,2993,777.220632
545.0,4425,778.460089
600.0,4047,779.588533
545.0,4910,780.965375
450.0,3305,781.904975
470.0,2747,782.677711
460.0,3010,783.547106
715.0,3437,784.561398
300.0,2778,785.376825
345.0,3235,786.310239
900.0,4001,787.445777
480.0,3313,788.391813
365.0,2885,789.210934
780.0,3156,790.104084
245.0,2337,790.781595
435.0,3197,791.694517
770.0,4413,792.940465
805.0,5477,794.516739
390.0,2967,795.36404
440.0,3691,796.430536
605.0,4559,797.709687
525.0,5019,799.133822
515.0,4459,800.400959
555.0,4021,801.53102
370.0,3359,802.482919
690.0,3297,806.462601
545.0,3924,807.560769
580.0,2177,808.185212
575.0,4429,809.431535
660.0,3577,810.434131
670.0,4247,811.658472
520.0,3637,812.664667
555.0,3774,813.723082
345.0,3009,814.589078
635.0,4079,815.733761
550.0,3642,816.762562
550.0,2967,817.593601
775.0,3712,818.655045
600.0,5155,820.10322
600.0,4359,821.301728
425.0,2997,822.163141
510.0,3957,823.292184
600.0,4233,824.461716
545.0,3610,825.48853
670.0,3217,826.383723
360.0,2284,827.069215
725.0,3521,828.071445
570.0,3359,829.038182
600.0,4283,830.238002
740.0,4677,831.568796
635.0,3893,832.686736
600.0,3999,833.808652
510.0,2753,837.799973
250.0,3225,838.721726
325.0,3113,839.610899
540.0,3880,840.71283
470.0,4059,841.844412
680.0,3505,842.835721
715.0,3953,843.941183
525.0,4339,845.157517
465.0,4183,846.355942
780.0,4088,847.499044
600.0,4373,848.724503
470.0,4417,849.957053
715.0,6491,851.805524
520.0,4763,853.142201
800.0,4265,854.320348
515.0,3627,855.355447
600.0,4611,856.620414
550.0,3600,857.642653
470.0,3997,858.765005
460.0,4195,859.967836
365.0,2879,860.775317
600.0,3961,861.865917
600.0,3821,862.936882
935.0,7257,864.99717
570.0,6031,870.743703
605.0,4237,871.943032
790.0,4126,873.121864
505.0,4259,874.325236
510.0,2673,875.089027
515.0,3847,876.164002
350.0,3335,877.134058
575.0,3672,878.179937
605.0,3657,879.203162
600.0,4383,880.437799
580.0,4069,881.607921
750.0,3688,882.646388
1435.0,6655,884.554363
525.0,4172,885.714742
540.0,3774,886.775858
335.0,2923,887.602566
